33.72 ,87.82,2327283
33.76 ,87.63,2327285
33.97 ,87.88,2327287
33.85 ,88.04,2327289
33.79 ,87.80,2327291
33.81 ,88.24,2327293
33.79 ,88.09,2327294
33.85 ,87.70,2327296
33.79 ,88.60,2327298
33.92 ,87.88,2327300
33.74 ,87.94,2327302
33.80 ,87.99,2327304
33.74 ,87.93,2327306
33.79 ,87.53,2327308
33.78 ,88.06,2327310
33.80 ,88.61,2327312
33.75 ,88.02,2327314
33.85 ,87.86,2327316
33.79 ,88.14,2327318
33.76 ,88.04,2327319
33.81 ,88.36,2327321
33.74 ,87.88,2327323
33.78 ,87.66,2327325
33.86 ,88.40,2327327
33.81 ,87.62,2327329
33.80 ,88.39,2327331
33.85 ,88.71,2327333
33.75 ,87.57,2327335
33.78 ,87.78,2327337
33.81 ,87.97,2327339
33.91 ,87.88,2327340
33.84 ,87.61,2327342
33.79 ,87.85,2327344
33.87 ,87.98,2327346
33.75 ,87.78,2327348
33.81 ,87.50,2327350
33.85 ,87.58,2327352
33.80 ,87.94,2327354
33.85 ,87.92,2327356
33.81 ,87.56,2327358
33.83 ,88.01,2327360
33.79 ,87.81,2327362
33.85 ,87.47,2327363
33.79 ,87.45,2327365
33.79 ,87.33,2327367
33.86 ,87.89,2327369
33.81 ,87.84,2327371
33.80 ,87.65,2327373
33.74 ,87.94,2327375
33.80 ,87.66,2327377
33.80 ,87.42,2327379
33.86 ,87.09,2327380
33.86 ,87.60,2327382
33.91 ,88.22,2327384
33.86 ,88.52,2327386
33.81 ,87.40,2327388
33.80 ,87.65,2327390
33.79 ,87.13,2327392
33.92 ,87.43,2327394
33.84 ,87.67,2327396
33.87 ,87.73,2327397
33.80 ,87.65,2327399
33.82 ,87.64,2327401
33.84 ,87.99,2327403
33.78 ,87.54,2327405
33.81 ,87.72,2327407
33.90 ,87.45,2327409
33.87 ,87.75,2327411
33.79 ,87.74,2327413
33.86 ,87.77,2327415
33.84 ,87.78,2327417
33.82 ,87.59,2327418
33.82 ,88.72,2327420
33.80 ,87.48,2327422
33.86 ,87.66,2327424
33.79 ,87.57,2327426
33.74 ,87.08,2327428
33.85 ,87.18,2327430
33.86 ,87.20,2327432
33.78 ,88.06,2327434
33.81 ,87.33,2327436
33.75 ,87.89,2327438
33.76 ,87.91,2327440
33.76 ,88.14,2327441
33.75 ,87.95,2327443
33.81 ,87.85,2327445
33.79 ,88.03,2327447
33.80 ,87.70,2327449
33.80 ,87.89,2327451
33.92 ,88.28,2327453
33.79 ,87.74,2327455
33.98 ,87.57,2327457
33.75 ,87.79,2327459
33.85 ,87.41,2327461
33.81 ,87.55,2327462
33.81 ,87.67,2327464
33.85 ,87.64,2327466
33.79 ,88.04,2327468
33.75 ,87.61,2327470
33.80 ,88.16,2327472
33.82 ,87.53,2327474
33.85 ,88.09,2327476
33.81 ,87.68,2327478
33.81 ,87.73,2327480
33.84 ,87.62,2327482
33.80 ,87.76,2327483
