41.58 ,83.17,380461
41.41 ,83.39,380463
41.47 ,83.39,380465
41.42 ,83.35,380467
41.47 ,83.34,380469
41.41 ,83.27,380471
41.37 ,83.47,380473
41.45 ,83.46,380474
41.43 ,83.55,380476
41.38 ,83.43,380478
41.31 ,83.30,380480
41.77 ,83.49,380481
41.44 ,83.50,380483
41.36 ,83.39,380485
41.38 ,83.45,380487
41.44 ,83.44,380489
41.32 ,83.37,380490
41.37 ,83.25,380492
41.46 ,83.38,380494
41.44 ,83.40,380496
41.19 ,83.40,380498
41.46 ,83.26,380500
41.48 ,83.19,380502
41.41 ,83.40,380503
41.40 ,83.43,380505
40.62 ,83.39,380507
41.61 ,83.33,380509
41.32 ,83.38,380510
41.64 ,83.23,380512
41.58 ,83.16,380514
41.48 ,83.24,380516
41.30 ,83.12,380518
41.49 ,83.21,380520
41.49 ,83.32,380522
41.42 ,83.25,380523
41.30 ,83.40,380525
41.53 ,83.23,380527
41.46 ,83.27,380529
41.30 ,83.34,380531
41.36 ,83.34,380532
41.56 ,83.06,380534
41.49 ,83.37,380536
41.44 ,83.32,380538
41.17 ,83.19,380540
41.54 ,83.30,380541
41.37 ,83.14,380543
41.60 ,83.25,380545
41.30 ,83.28,380547
41.46 ,83.43,380549
41.46 ,83.43,380551
41.30 ,82.89,380552
41.19 ,83.40,380554
41.37 ,83.43,380556
41.44 ,83.34,380558
41.52 ,83.38,380560
41.50 ,83.50,380561
41.09 ,83.43,380563
41.43 ,83.48,380565
41.38 ,83.55,380567
41.20 ,83.64,380569
41.62 ,83.52,380571
41.42 ,83.74,380573
41.07 ,83.56,380574
41.36 ,83.40,380576
41.47 ,83.51,380578
41.66 ,83.66,380580
41.46 ,83.43,380581
41.08 ,83.58,380583
41.42 ,83.53,380585
41.30 ,83.68,380587
41.48 ,83.47,380589
41.48 ,83.36,380591
41.37 ,83.19,380593
41.15 ,83.43,380594
41.52 ,82.75,380596
41.82 ,83.35,380598
41.88 ,83.07,380600
41.29 ,83.20,380602
41.49 ,83.26,380603
41.54 ,83.47,380605
41.58 ,83.34,380607
41.54 ,83.20,380609
41.34 ,83.37,380610
41.36 ,83.22,380612
41.47 ,83.40,380614
41.58 ,83.27,380616
41.58 ,83.39,380618
41.69 ,82.92,380620
41.88 ,83.24,380622
41.58 ,83.22,380623
41.57 ,83.31,380625
41.47 ,83.17,380627
41.54 ,83.19,380629
41.26 ,83.26,380631
41.53 ,83.06,380632
41.65 ,83.02,380634
41.53 ,83.01,380636
41.40 ,83.48,380638
41.78 ,82.94,380640
41.60 ,83.09,380642
41.88 ,83.26,380644
41.31 ,82.84,380645
41.56 ,83.34,380647
41.61 ,82.87,380649
41.06 ,82.98,380651
41.66 ,83.03,380652
41.58 ,82.60,380654
41.14 ,82.62,380656
41.48 ,82.22,380658
41.75 ,82.59,380660
41.52 ,82.81,380662
41.60 ,82.63,380663
42.42 ,82.17,380665
41.82 ,81.37,380667
41.66 ,80.19,380669
41.56 ,82.27,380671
41.70 ,82.39,380672
41.58 ,82.37,380674
41.77 ,82.34,380676
41.94 ,82.96,380678
41.82 ,80.91,380680
41.55 ,82.36,380681
41.81 ,81.98,380683
41.32 ,82.35,380685
41.63 ,82.87,380687
41.54 ,83.07,380689
41.41 ,82.37,380691
41.53 ,82.44,380693
41.50 ,82.83,380694
41.44 ,82.77,380696
41.31 ,82.96,380698
41.45 ,83.13,380700
41.48 ,83.01,380701
41.76 ,82.38,380703
41.52 ,82.93,380705
41.65 ,83.07,380707
41.24 ,82.70,380709
41.64 ,82.78,380711
41.51 ,83.37,380713
41.35 ,83.27,380714
41.35 ,82.69,380716
41.57 ,82.92,380718
41.51 ,82.90,380720
41.64 ,83.05,380722
41.59 ,82.83,380723
41.44 ,82.82,380725
41.74 ,83.20,380727
41.30 ,82.71,380729
41.54 ,82.23,380731
41.25 ,83.35,380732
41.50 ,83.22,380734
41.53 ,83.01,380736
41.80 ,83.36,380738
41.76 ,83.18,380740
41.56 ,83.24,380742
41.50 ,83.39,380743
41.36 ,83.23,380745
41.51 ,83.31,380747
41.71 ,83.13,380749
41.49 ,83.49,380751
