3.365999999999999659e+01,8.831000000000000227e+01,2.810130000000000000e+05,2.739302148353692701e+01
3.360999999999999943e+01,8.806999999999999318e+01,2.810140000000000000e+05,2.709188306866235507e+01
3.365999999999999659e+01,8.851000000000000512e+01,2.810160000000000000e+05,2.739302148353692701e+01
3.359000000000000341e+01,8.781000000000000227e+01,2.810180000000000000e+05,2.697262942416261922e+01
3.360000000000000142e+01,8.829000000000000625e+01,2.810200000000000000e+05,2.703217040916581482e+01
3.365999999999999659e+01,8.818999999999999773e+01,2.810220000000000000e+05,2.739302148353692701e+01
3.360000000000000142e+01,8.793000000000000682e+01,2.810240000000000000e+05,2.703217040916581482e+01
3.357000000000000028e+01,8.829999999999999716e+01,2.810250000000000000e+05,2.685406247763444298e+01
3.360999999999999943e+01,8.790000000000000568e+01,2.810270000000000000e+05,2.709188306866235507e+01
3.360000000000000142e+01,8.829000000000000625e+01,2.810290000000000000e+05,2.703217040916581482e+01
3.356000000000000227e+01,8.793000000000000682e+01,2.810310000000000000e+05,2.679503651611003079e+01
3.353000000000000114e+01,8.835999999999999943e+01,2.810330000000000000e+05,2.661898867849345152e+01
3.359000000000000341e+01,8.848999999999999488e+01,2.810340000000000000e+05,2.697262942416261922e+01
3.360999999999999943e+01,8.818999999999999773e+01,2.810360000000000000e+05,2.709188306866235507e+01
3.361999999999999744e+01,8.792000000000000171e+01,2.810380000000000000e+05,2.715176740265121680e+01
3.356000000000000227e+01,8.815000000000000568e+01,2.810400000000000000e+05,2.679503651611003079e+01
3.360000000000000142e+01,8.801000000000000512e+01,2.810420000000000000e+05,2.703217040916581482e+01
3.360999999999999943e+01,8.809000000000000341e+01,2.810440000000000000e+05,2.709188306866235507e+01
3.360999999999999943e+01,8.739000000000000057e+01,2.810450000000000000e+05,2.709188306866235507e+01
3.363000000000000256e+01,8.720999999999999375e+01,2.810470000000000000e+05,2.721182341113342318e+01
3.360999999999999943e+01,8.812999999999999545e+01,2.810490000000000000e+05,2.709188306866235507e+01
3.357999999999999829e+01,8.739000000000000057e+01,2.810510000000000000e+05,2.691326011365219983e+01
3.360000000000000142e+01,8.793999999999999773e+01,2.810530000000000000e+05,2.703217040916581482e+01
3.356000000000000227e+01,8.803000000000000114e+01,2.810540000000000000e+05,2.679503651611003079e+01
3.357000000000000028e+01,8.765999999999999659e+01,2.810560000000000000e+05,2.685406247763444298e+01
3.360000000000000142e+01,8.743000000000000682e+01,2.810580000000000000e+05,2.703217040916581482e+01
