tof_t1 , 77.25, tof_t2 , 237.38
tof_t1 , 77.09, tof_t2 , 236.20
tof_t1 , 77.15, tof_t2 , 237.06
tof_t1 , 77.10, tof_t2 , 235.77
tof_t1 , 77.09, tof_t2 , 235.96
tof_t1 , 77.14, tof_t2 , 235.32
tof_t1 , 77.11, tof_t2 , 235.98
tof_t1 , 77.03, tof_t2 , 235.44
tof_t1 , 77.09, tof_t2 , 234.11
tof_t1 , 77.22, tof_t2 , 235.04
tof_t1 , 77.28, tof_t2 , 232.76
tof_t1 , 77.15, tof_t2 , 234.06
tof_t1 , 77.17, tof_t2 , 232.81
tof_t1 , 77.26, tof_t2 , 232.50
tof_t1 , 77.24, tof_t2 , 233.75
tof_t1 , 77.27, tof_t2 , 231.01
tof_t1 , 77.19, tof_t2 , 229.47
tof_t1 , 77.22, tof_t2 , 232.01
tof_t1 , 77.26, tof_t2 , 228.89
tof_t1 , 77.23, tof_t2 , 228.64
tof_t1 , 77.27, tof_t2 , 228.94
tof_t1 , 77.28, tof_t2 , 228.66
tof_t1 , 77.36, tof_t2 , 228.40
tof_t1 , 77.33, tof_t2 , 228.20
tof_t1 , 77.31, tof_t2 , 227.78
tof_t1 , 77.38, tof_t2 , 227.99
tof_t1 , 77.35, tof_t2 , 224.48
tof_t1 , 77.38, tof_t2 , 224.33
tof_t1 , 77.35, tof_t2 , 224.06
tof_t1 , 77.35, tof_t2 , 222.70
tof_t1 , 77.53, tof_t2 , 222.10
tof_t1 , 77.49, tof_t2 , 222.18
tof_t1 , 77.45, tof_t2 , 221.09
tof_t1 , 77.60, tof_t2 , 218.86
tof_t1 , 77.52, tof_t2 , 218.86
tof_t1 , 77.49, tof_t2 , 219.06
tof_t1 , 77.55, tof_t2 , 219.01
tof_t1 , 77.50, tof_t2 , 218.60
tof_t1 , 77.51, tof_t2 , 217.87
tof_t1 , 77.64, tof_t2 , 217.19
tof_t1 , 77.50, tof_t2 , 213.44
tof_t1 , 77.67, tof_t2 , 215.13
tof_t1 , 77.57, tof_t2 , 213.40
tof_t1 , 77.58, tof_t2 , 212.81
tof_t1 , 77.66, tof_t2 , 213.23
tof_t1 , 77.63, tof_t2 , 209.97
tof_t1 , 77.60, tof_t2 , 213.05
tof_t1 , 77.64, tof_t2 , 211.84
tof_t1 , 77.61, tof_t2 , 209.62
tof_t1 , 77.63, tof_t2 , 208.53
tof_t1 , 77.60, tof_t2 , 209.89
tof_t1 , 77.69, tof_t2 , 207.61
tof_t1 , 77.68, tof_t2 , 208.43
tof_t1 , 77.66, tof_t2 , 208.19
tof_t1 , 77.66, tof_t2 , 208.29
tof_t1 , 77.64, tof_t2 , 208.35
tof_t1 , 77.73, tof_t2 , 207.15
tof_t1 , 77.75, tof_t2 , 209.18
tof_t1 , 77.76, tof_t2 , 208.12
tof_t1 , 77.72, tof_t2 , 207.79
tof_t1 , 77.71, tof_t2 , 206.09
tof_t1 , 77.72, tof_t2 , 206.94
tof_t1 , 77.78, tof_t2 , 204.54
tof_t1 , 77.74, tof_t2 , 205.61
tof_t1 , 77.70, tof_t2 , 204.02
tof_t1 , 77.80, tof_t2 , 204.60
tof_t1 , 77.79, tof_t2 , 204.25
tof_t1 , 77.71, tof_t2 , 203.25
tof_t1 , 77.89, tof_t2 , 203.40
tof_t1 , 77.74, tof_t2 , 203.51
tof_t1 , 77.78, tof_t2 , 202.37
tof_t1 , 77.71, tof_t2 , 201.67
tof_t1 , 77.88, tof_t2 , 201.88
tof_t1 , 77.83, tof_t2 , 201.90
tof_t1 , 77.86, tof_t2 , 201.16
tof_t1 , 77.80, tof_t2 , 201.04
tof_t1 , 77.91, tof_t2 , 201.67
tof_t1 , 77.83, tof_t2 , 201.45
tof_t1 , 77.86, tof_t2 , 200.13
tof_t1 , 77.75, tof_t2 , 200.87
tof_t1 , 77.89, tof_t2 , 201.79
tof_t1 , 77.88, tof_t2 , 199.50
tof_t1 , 77.88, tof_t2 , 199.29
tof_t1 , 78.00, tof_t2 , 200.44
tof_t1 , 77.91, tof_t2 , 199.39
tof_t1 , 77.91, tof_t2 , 201.34
tof_t1 , 77.90, tof_t2 , 199.85
tof_t1 , 77.89, tof_t2 , 199.62
tof_t1 , 77.89, tof_t2 , 198.64
tof_t1 , 77.99, tof_t2 , 200.13
tof_t1 , 77.90, tof_t2 , 200.53
tof_t1 , 77.89, tof_t2 , 198.80
tof_t1 , 77.88, tof_t2 , 198.83
tof_t1 , 77.90, tof_t2 , 198.57
tof_t1 , 77.92, tof_t2 , 199.36
tof_t1 , 78.07, tof_t2 , 198.40
tof_t1 , 78.03, tof_t2 , 198.77
tof_t1 , 77.98, tof_t2 , 199.36
tof_t1 , 77.86, tof_t2 , 199.24
tof_t1 , 77.90, tof_t2 , 199.46
tof_t1 , 77.97, tof_t2 , 197.75
tof_t1 , 77.97, tof_t2 , 198.76
tof_t1 , 78.01, tof_t2 , 198.03
tof_t1 , 78.02, tof_t2 , 198.95
tof_t1 , 78.00, tof_t2 , 197.93
tof_t1 , 77.98, tof_t2 , 197.70
tof_t1 , 78.01, tof_t2 , 198.00
tof_t1 , 78.10, tof_t2 , 197.68
tof_t1 , 78.20, tof_t2 , 195.90
tof_t1 , 77.97, tof_t2 , 196.49
tof_t1 , 77.98, tof_t2 , 196.03
tof_t1 , 78.08, tof_t2 , 195.87
tof_t1 , 78.07, tof_t2 , 196.57
tof_t1 , 78.05, tof_t2 , 195.43
tof_t1 , 78.07, tof_t2 , 195.58
tof_t1 , 78.11, tof_t2 , 195.62
tof_t1 , 78.10, tof_t2 , 195.89
tof_t1 , 78.15, tof_t2 , 194.92
tof_t1 , 78.07, tof_t2 , 195.83
tof_t1 , 78.07, tof_t2 , 196.00
tof_t1 , 78.26, tof_t2 , 194.35
tof_t1 , 78.10, tof_t2 , 194.21
tof_t1 , 78.12, tof_t2 , 194.43
tof_t1 , 78.08, tof_t2 , 194.09
tof_t1 , 78.08, tof_t2 , 194.54
tof_t1 , 78.18, tof_t2 , 193.68
tof_t1 , 78.16, tof_t2 , 193.90
tof_t1 , 78.25, tof_t2 , 194.19
tof_t1 , 78.17, tof_t2 , 193.69
tof_t1 , 78.15, tof_t2 , 193.83
tof_t1 , 78.21, tof_t2 , 193.93
tof_t1 , 78.27, tof_t2 , 193.63
tof_t1 , 78.25, tof_t2 , 193.16
tof_t1 , 78.23, tof_t2 , 193.87
tof_t1 , 78.31, tof_t2 , 192.94
tof_t1 , 78.29, tof_t2 , 193.32
tof_t1 , 78.24, tof_t2 , 192.83
tof_t1 , 78.42, tof_t2 , 193.09
tof_t1 , 78.31, tof_t2 , 192.24
tof_t1 , 78.26, tof_t2 , 192.63
tof_t1 , 78.29, tof_t2 , 192.12
tof_t1 , 78.36, tof_t2 , 191.78
