tof_t1 , 81.00, tof_t2 , 83.10
tof_t1 , 81.03, tof_t2 , 83.08
tof_t1 , 81.06, tof_t2 , 83.22
tof_t1 , 81.06, tof_t2 , 83.27
tof_t1 , 80.90, tof_t2 , 82.94
tof_t1 , 81.09, tof_t2 , 83.14
tof_t1 , 81.05, tof_t2 , 83.09
tof_t1 , 81.05, tof_t2 , 83.21
tof_t1 , 81.04, tof_t2 , 83.14
tof_t1 , 81.10, tof_t2 , 83.25
tof_t1 , 81.00, tof_t2 , 83.10
tof_t1 , 81.08, tof_t2 , 83.18
tof_t1 , 80.96, tof_t2 , 83.06
tof_t1 , 81.14, tof_t2 , 83.24
tof_t1 , 81.10, tof_t2 , 83.20
tof_t1 , 81.12, tof_t2 , 83.27
tof_t1 , 81.06, tof_t2 , 83.10
tof_t1 , 80.97, tof_t2 , 83.12
tof_t1 , 80.88, tof_t2 , 82.98
tof_t1 , 80.89, tof_t2 , 83.04
tof_t1 , 80.78, tof_t2 , 82.88
tof_t1 , 80.84, tof_t2 , 82.94
tof_t1 , 80.84, tof_t2 , 83.00
tof_t1 , 80.90, tof_t2 , 82.94
tof_t1 , 80.82, tof_t2 , 82.92
tof_t1 , 80.80, tof_t2 , 82.96
tof_t1 , 80.96, tof_t2 , 83.05
tof_t1 , 80.83, tof_t2 , 82.87
tof_t1 , 80.90, tof_t2 , 83.12
tof_t1 , 80.84, tof_t2 , 82.99
tof_t1 , 81.02, tof_t2 , 83.12
tof_t1 , 80.87, tof_t2 , 83.03
tof_t1 , 81.04, tof_t2 , 83.14
tof_t1 , 81.14, tof_t2 , 83.42
tof_t1 , 80.92, tof_t2 , 83.02
tof_t1 , 81.11, tof_t2 , 83.26
tof_t1 , 81.05, tof_t2 , 83.21
tof_t1 , 81.22, tof_t2 , 83.32
tof_t1 , 81.11, tof_t2 , 83.27
tof_t1 , 80.93, tof_t2 , 83.08
tof_t1 , 81.02, tof_t2 , 83.11
tof_t1 , 80.99, tof_t2 , 83.14
tof_t1 , 80.96, tof_t2 , 83.12
tof_t1 , 81.08, tof_t2 , 83.23
tof_t1 , 80.94, tof_t2 , 83.10
tof_t1 , 80.99, tof_t2 , 83.08
tof_t1 , 80.93, tof_t2 , 82.92
tof_t1 , 80.98, tof_t2 , 83.08
tof_t1 , 80.87, tof_t2 , 83.03
tof_t1 , 80.88, tof_t2 , 82.98
tof_t1 , 80.87, tof_t2 , 82.97
tof_t1 , 80.88, tof_t2 , 82.92
tof_t1 , 80.94, tof_t2 , 83.04
tof_t1 , 80.96, tof_t2 , 83.06
tof_t1 , 80.97, tof_t2 , 83.13
tof_t1 , 80.86, tof_t2 , 82.96
tof_t1 , 80.93, tof_t2 , 83.03
tof_t1 , 80.96, tof_t2 , 83.01
tof_t1 , 80.99, tof_t2 , 83.14
tof_t1 , 80.96, tof_t2 , 83.00
tof_t1 , 81.03, tof_t2 , 83.13
tof_t1 , 81.02, tof_t2 , 83.12
tof_t1 , 81.08, tof_t2 , 83.24
tof_t1 , 81.14, tof_t2 , 83.24
tof_t1 , 81.00, tof_t2 , 83.21
tof_t1 , 81.02, tof_t2 , 83.18
tof_t1 , 81.03, tof_t2 , 83.18
tof_t1 , 81.09, tof_t2 , 83.19
tof_t1 , 81.03, tof_t2 , 83.24
tof_t1 , 81.08, tof_t2 , 83.12
tof_t1 , 81.04, tof_t2 , 83.20
tof_t1 , 81.00, tof_t2 , 83.04
tof_t1 , 81.10, tof_t2 , 83.25
tof_t1 , 80.98, tof_t2 , 83.13
tof_t1 , 80.99, tof_t2 , 83.03
tof_t1 , 80.94, tof_t2 , 83.15
tof_t1 , 80.94, tof_t2 , 82.92
tof_t1 , 80.91, tof_t2 , 83.06
tof_t1 , 80.92, tof_t2 , 82.96
tof_t1 , 81.00, tof_t2 , 83.15
tof_t1 , 81.04, tof_t2 , 83.14
tof_t1 , 80.85, tof_t2 , 83.00
tof_t1 , 81.05, tof_t2 , 83.14
tof_t1 , 80.92, tof_t2 , 83.02
tof_t1 , 80.85, tof_t2 , 83.00
tof_t1 , 80.84, tof_t2 , 82.94
tof_t1 , 80.98, tof_t2 , 83.13
tof_t1 , 80.92, tof_t2 , 83.08
tof_t1 , 81.01, tof_t2 , 83.10
tof_t1 , 81.01, tof_t2 , 83.05
tof_t1 , 80.92, tof_t2 , 83.02
tof_t1 , 81.15, tof_t2 , 83.36
tof_t1 , 81.04, tof_t2 , 83.14
tof_t1 , 80.87, tof_t2 , 83.03
tof_t1 , 81.03, tof_t2 , 83.18
tof_t1 , 81.01, tof_t2 , 83.17
tof_t1 , 81.20, tof_t2 , 83.24
tof_t1 , 81.18, tof_t2 , 83.28
tof_t1 , 81.05, tof_t2 , 83.15
tof_t1 , 81.00, tof_t2 , 83.09
tof_t1 , 80.93, tof_t2 , 83.08
tof_t1 , 81.07, tof_t2 , 83.17
tof_t1 , 81.08, tof_t2 , 83.18
tof_t1 , 80.98, tof_t2 , 83.13
tof_t1 , 81.03, tof_t2 , 83.19
tof_t1 , 80.77, tof_t2 , 82.93
tof_t1 , 80.91, tof_t2 , 83.07
tof_t1 , 80.93, tof_t2 , 83.08
tof_t1 , 80.95, tof_t2 , 82.99
tof_t1 , 81.01, tof_t2 , 83.17
tof_t1 , 80.87, tof_t2 , 82.97
tof_t1 , 80.81, tof_t2 , 82.96
tof_t1 , 80.88, tof_t2 , 82.98
tof_t1 , 80.96, tof_t2 , 83.05
tof_t1 , 80.92, tof_t2 , 82.96
tof_t1 , 80.90, tof_t2 , 82.94
tof_t1 , 80.90, tof_t2 , 83.06
tof_t1 , 80.95, tof_t2 , 83.05
tof_t1 , 81.03, tof_t2 , 83.12
tof_t1 , 81.07, tof_t2 , 83.17
tof_t1 , 80.94, tof_t2 , 83.04
tof_t1 , 81.02, tof_t2 , 83.06
tof_t1 , 80.99, tof_t2 , 83.21
tof_t1 , 81.02, tof_t2 , 83.12
tof_t1 , 81.10, tof_t2 , 83.25
tof_t1 , 81.03, tof_t2 , 83.13
tof_t1 , 81.11, tof_t2 , 83.27
tof_t1 , 81.00, tof_t2 , 83.04
tof_t1 , 81.13, tof_t2 , 83.29
tof_t1 , 81.06, tof_t2 , 83.21
tof_t1 , 81.01, tof_t2 , 82.99
tof_t1 , 80.89, tof_t2 , 83.10
tof_t1 , 80.94, tof_t2 , 83.10
tof_t1 , 81.05, tof_t2 , 83.21
tof_t1 , 81.02, tof_t2 , 83.12
tof_t1 , 80.95, tof_t2 , 82.99
tof_t1 , 80.92, tof_t2 , 83.02
tof_t1 , 80.97, tof_t2 , 83.07
tof_t1 , 80.97, tof_t2 , 83.07
tof_t1 , 80.93, tof_t2 , 83.03
tof_t1 , 80.83, tof_t2 , 83.04
tof_t1 , 80.94, tof_t2 , 82.98
tof_t1 , 80.86, tof_t2 , 82.96
tof_t1 , 80.93, tof_t2 , 83.08
tof_t1 , 80.90, tof_t2 , 82.94
tof_t1 , 81.01, tof_t2 , 83.11
tof_t1 , 80.93, tof_t2 , 82.97
tof_t1 , 80.91, tof_t2 , 82.95
tof_t1 , 81.01, tof_t2 , 83.11
tof_t1 , 81.01, tof_t2 , 83.17
tof_t1 , 81.06, tof_t2 , 83.22
tof_t1 , 81.09, tof_t2 , 83.19
tof_t1 , 80.94, tof_t2 , 83.04
tof_t1 , 80.93, tof_t2 , 83.20
tof_t1 , 81.05, tof_t2 , 83.09
tof_t1 , 81.19, tof_t2 , 83.23
tof_t1 , 81.11, tof_t2 , 83.27
tof_t1 , 81.03, tof_t2 , 83.18
tof_t1 , 81.04, tof_t2 , 83.19
tof_t1 , 80.97, tof_t2 , 83.01
tof_t1 , 81.00, tof_t2 , 83.16
tof_t1 , 81.06, tof_t2 , 83.22
tof_t1 , 81.09, tof_t2 , 83.25
tof_t1 , 80.92, tof_t2 , 83.02
tof_t1 , 81.01, tof_t2 , 83.17
tof_t1 , 80.88, tof_t2 , 83.04
tof_t1 , 80.96, tof_t2 , 83.00
tof_t1 , 80.84, tof_t2 , 82.94
tof_t1 , 80.97, tof_t2 , 83.01
tof_t1 , 80.91, tof_t2 , 83.01
tof_t1 , 80.96, tof_t2 , 83.11
tof_t1 , 80.83, tof_t2 , 82.92
tof_t1 , 80.96, tof_t2 , 83.11
tof_t1 , 80.98, tof_t2 , 83.08
tof_t1 , 80.95, tof_t2 , 83.05
tof_t1 , 80.95, tof_t2 , 83.05
tof_t1 , 80.90, tof_t2 , 82.94
tof_t1 , 80.88, tof_t2 , 82.87
tof_t1 , 80.96, tof_t2 , 83.00
tof_t1 , 81.04, tof_t2 , 83.14
tof_t1 , 81.06, tof_t2 , 83.21
tof_t1 , 81.05, tof_t2 , 83.21
tof_t1 , 81.03, tof_t2 , 83.13
tof_t1 , 81.15, tof_t2 , 83.25
tof_t1 , 81.00, tof_t2 , 83.10
tof_t1 , 81.25, tof_t2 , 83.46
tof_t1 , 81.10, tof_t2 , 83.20
tof_t1 , 81.07, tof_t2 , 83.16
tof_t1 , 81.01, tof_t2 , 83.16
tof_t1 , 80.99, tof_t2 , 83.14
tof_t1 , 81.08, tof_t2 , 83.18
tof_t1 , 80.96, tof_t2 , 83.12
tof_t1 , 81.13, tof_t2 , 83.23
tof_t1 , 80.99, tof_t2 , 83.08
tof_t1 , 80.88, tof_t2 , 82.98
tof_t1 , 80.99, tof_t2 , 83.14
tof_t1 , 80.97, tof_t2 , 83.07
tof_t1 , 80.93, tof_t2 , 83.14
tof_t1 , 80.94, tof_t2 , 82.98
tof_t1 , 81.04, tof_t2 , 83.14
tof_t1 , 80.89, tof_t2 , 82.93
tof_t1 , 80.90, tof_t2 , 82.99
tof_t1 , 80.88, tof_t2 , 83.04
tof_t1 , 80.96, tof_t2 , 83.11
tof_t1 , 80.95, tof_t2 , 82.94
tof_t1 , 81.03, tof_t2 , 83.07
tof_t1 , 80.89, tof_t2 , 82.99
tof_t1 , 80.96, tof_t2 , 83.06
tof_t1 , 81.12, tof_t2 , 83.28
tof_t1 , 80.89, tof_t2 , 83.10
tof_t1 , 81.05, tof_t2 , 83.21
tof_t1 , 80.96, tof_t2 , 83.17
tof_t1 , 81.19, tof_t2 , 83.29
tof_t1 , 81.01, tof_t2 , 83.11
tof_t1 , 81.11, tof_t2 , 83.21
tof_t1 , 81.15, tof_t2 , 83.25
tof_t1 , 81.04, tof_t2 , 83.14
tof_t1 , 80.98, tof_t2 , 83.08
tof_t1 , 81.01, tof_t2 , 83.16
tof_t1 , 81.05, tof_t2 , 83.32
tof_t1 , 81.09, tof_t2 , 83.24
tof_t1 , 81.09, tof_t2 , 83.25
tof_t1 , 80.92, tof_t2 , 83.13
tof_t1 , 80.88, tof_t2 , 83.04
tof_t1 , 80.96, tof_t2 , 83.11
tof_t1 , 80.91, tof_t2 , 83.01
tof_t1 , 80.82, tof_t2 , 82.98
tof_t1 , 80.89, tof_t2 , 83.04
tof_t1 , 80.96, tof_t2 , 83.06
tof_t1 , 80.85, tof_t2 , 82.95
tof_t1 , 80.94, tof_t2 , 83.16
tof_t1 , 81.01, tof_t2 , 83.05
tof_t1 , 80.88, tof_t2 , 82.97
tof_t1 , 80.98, tof_t2 , 83.02
tof_t1 , 80.99, tof_t2 , 83.15
tof_t1 , 80.90, tof_t2 , 82.94
tof_t1 , 80.98, tof_t2 , 83.02
tof_t1 , 81.03, tof_t2 , 83.12
tof_t1 , 80.99, tof_t2 , 83.03
tof_t1 , 81.10, tof_t2 , 83.31
tof_t1 , 80.99, tof_t2 , 83.09
tof_t1 , 81.00, tof_t2 , 83.22
tof_t1 , 81.03, tof_t2 , 83.13
tof_t1 , 80.96, tof_t2 , 83.05
tof_t1 , 81.03, tof_t2 , 83.12
tof_t1 , 81.13, tof_t2 , 83.28
tof_t1 , 81.00, tof_t2 , 83.16
tof_t1 , 81.04, tof_t2 , 83.20
tof_t1 , 80.94, tof_t2 , 83.09
tof_t1 , 81.05, tof_t2 , 83.21
tof_t1 , 81.08, tof_t2 , 83.24
tof_t1 , 80.97, tof_t2 , 83.18
tof_t1 , 81.05, tof_t2 , 83.15
tof_t1 , 80.99, tof_t2 , 83.20
tof_t1 , 80.90, tof_t2 , 83.05
tof_t1 , 80.92, tof_t2 , 83.02
tof_t1 , 80.94, tof_t2 , 83.09
tof_t1 , 81.01, tof_t2 , 83.17
tof_t1 , 81.01, tof_t2 , 83.11
tof_t1 , 80.94, tof_t2 , 82.98
tof_t1 , 80.88, tof_t2 , 82.98
tof_t1 , 81.08, tof_t2 , 83.18
tof_t1 , 81.01, tof_t2 , 83.11
tof_t1 , 81.02, tof_t2 , 83.11
tof_t1 , 80.93, tof_t2 , 83.15
