tof_t1 ,54.32,tof_t2 ,0, TOF,-54.32
tof_t1 ,54.31,tof_t2 ,0, TOF,-54.31
tof_t1 ,54.37,tof_t2 ,0, TOF,-54.37
tof_t1 ,54.26,tof_t2 ,0, TOF,-54.26
tof_t1 ,54.43,tof_t2 ,0, TOF,-54.43
tof_t1 ,54.33,tof_t2 ,0, TOF,-54.33
tof_t1 ,54.35,tof_t2 ,0, TOF,-54.35
tof_t1 ,54.31,tof_t2 ,0, TOF,-54.31
tof_t1 ,54.28,tof_t2 ,0, TOF,-54.28
tof_t1 ,54.33,tof_t2 ,0, TOF,-54.33
tof_t1 ,54.39,tof_t2 ,0, TOF,-54.39
tof_t1 ,54.49,tof_t2 ,0, TOF,-54.49
tof_t1 ,54.34,tof_t2 ,0, TOF,-54.34
tof_t1 ,54.29,tof_t2 ,0, TOF,-54.29
tof_t1 ,54.3,tof_t2 ,0, TOF,-54.3
tof_t1 ,54.31,tof_t2 ,0, TOF,-54.31
tof_t1 ,54.31,tof_t2 ,0, TOF,-54.31
tof_t1 ,54.35,tof_t2 ,0, TOF,-54.35
tof_t1 ,54.28,tof_t2 ,0, TOF,-54.28
tof_t1 ,54.37,tof_t2 ,0, TOF,-54.37
tof_t1 ,54.45,tof_t2 ,0, TOF,-54.45
tof_t1 ,54.35,tof_t2 ,0, TOF,-54.35
tof_t1 ,54.28,tof_t2 ,0, TOF,-54.28
tof_t1 ,54.28,tof_t2 ,0, TOF,-54.28
tof_t1 ,54.33,tof_t2 ,0, TOF,-54.33
tof_t1 ,54.3,tof_t2 ,0, TOF,-54.3
tof_t1 ,54.18,tof_t2 ,0, TOF,-54.18
tof_t1 ,54.34,tof_t2 ,0, TOF,-54.34
tof_t1 ,54.4,tof_t2 ,0, TOF,-54.4
tof_t1 ,54.31,tof_t2 ,0, TOF,-54.31
tof_t1 ,54.32,tof_t2 ,0, TOF,-54.32
tof_t1 ,54.4,tof_t2 ,0, TOF,-54.4
tof_t1 ,54.31,tof_t2 ,0, TOF,-54.31
tof_t1 ,54.33,tof_t2 ,0, TOF,-54.33
tof_t1 ,54.34,tof_t2 ,0, TOF,-54.34
tof_t1 ,54.33,tof_t2 ,0, TOF,-54.33
tof_t1 ,54.28,tof_t2 ,0, TOF,-54.28
tof_t1 ,54.31,tof_t2 ,0, TOF,-54.31
tof_t1 ,54.32,tof_t2 ,0, TOF,-54.32
